epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,920.723,0.22562,0.32141,0.22935,0.83148,0.98945,0.99362,0.99439,0.98368,0.99276,0.99671,0.99465,0.97771,0.19861,0.39594,0.18106,0.76871,0.000185223,0.000185223,0.000185223
31,951.3,0.20825,0.29672,0.21525,0.82466,0.98786,0.99671,0.9945,0.98326,0.98786,0.99671,0.9945,0.97697,0.19173,0.37085,0.16623,0.76324,0.00017661,0.00017661,0.00017661
32,982.045,0.21758,0.31126,0.21388,0.82946,0.99342,0.99313,0.99465,0.9821,0.99342,0.99313,0.99465,0.97807,0.1962,0.35992,0.17011,0.76676,0.000167997,0.000167997,0.000167997
33,1012.36,0.21048,0.30107,0.20645,0.82656,0.98635,0.9931,0.9945,0.98305,0.98635,0.9931,0.9945,0.97682,0.2025,0.35388,0.18691,0.78525,0.000159384,0.000159384,0.000159384
34,1042.75,0.21549,0.31103,0.2152,0.82719,0.98923,0.99308,0.99465,0.98609,0.98923,0.99308,0.99465,0.97769,0.18238,0.3444,0.16064,0.76097,0.000150771,0.000150771,0.000150771
35,1073.34,0.20628,0.29893,0.21168,0.82139,0.98808,0.99484,0.99465,0.98348,0.98808,0.99484,0.99465,0.97495,0.18467,0.35438,0.14998,0.76719,0.000142158,0.000142158,0.000142158
36,1103.82,0.20662,0.28958,0.21353,0.82547,0.99215,0.99671,0.99465,0.9859,0.99215,0.99671,0.99465,0.97595,0.17898,0.35328,0.1487,0.76506,0.000133545,0.000133545,0.000133545
37,1134.11,0.20643,0.30018,0.20501,0.82533,0.99066,0.99562,0.99465,0.98598,0.99066,0.99562,0.99465,0.97552,0.17557,0.36099,0.15839,0.76089,0.000124932,0.000124932,0.000124932
38,1164.53,0.20199,0.29002,0.20022,0.82696,0.989,0.9967,0.99465,0.98595,0.989,0.9967,0.99465,0.97829,0.19008,0.36896,0.16641,0.76154,0.000116319,0.000116319,0.000116319
39,1195.06,0.20245,0.29297,0.1982,0.82423,0.99242,0.99671,0.9945,0.98668,0.99242,0.99671,0.9945,0.98031,0.17769,0.35349,0.14733,0.76051,0.000107706,0.000107706,0.000107706
40,1225.93,0.19237,0.28713,0.18186,0.81817,0.99362,0.99359,0.99465,0.98484,0.99362,0.99359,0.99465,0.97731,0.17964,0.36098,0.136,0.76331,9.9093e-05,9.9093e-05,9.9093e-05
41,1257.94,0.15137,0.247,0.14895,0.77506,0.9893,0.99445,0.99437,0.98317,0.9893,0.99445,0.99437,0.97456,0.17674,0.38179,0.1412,0.76364,9.048e-05,9.048e-05,9.048e-05
42,1288.38,0.15161,0.24508,0.14008,0.78869,0.98761,0.99138,0.99386,0.98425,0.98679,0.99029,0.99122,0.97824,0.18476,0.39846,0.16562,0.77076,8.1867e-05,8.1867e-05,8.1867e-05
43,1318.78,0.14901,0.23339,0.13529,0.78911,0.99478,0.99432,0.99286,0.98788,0.99478,0.99432,0.99286,0.98011,0.18685,0.37268,0.15796,0.77566,7.3254e-05,7.3254e-05,7.3254e-05
44,1349.77,0.14975,0.22977,0.13675,0.78691,0.99219,0.99263,0.99358,0.98504,0.99219,0.99263,0.99358,0.9756,0.17897,0.37491,0.14903,0.77024,6.4641e-05,6.4641e-05,6.4641e-05
45,1380.16,0.14407,0.22768,0.13019,0.7829,0.99458,0.99309,0.99276,0.98278,0.99458,0.99309,0.99276,0.97829,0.17132,0.37792,0.15426,0.76807,5.6028e-05,5.6028e-05,5.6028e-05
46,1410.55,0.14205,0.22122,0.12648,0.77831,0.98867,0.99328,0.99276,0.98438,0.98867,0.99328,0.99276,0.97646,0.16659,0.37322,0.14606,0.76295,4.7415e-05,4.7415e-05,4.7415e-05
47,1440.93,0.13513,0.22294,0.12194,0.77889,0.99002,0.99331,0.99282,0.98554,0.99002,0.99331,0.99282,0.97716,0.16799,0.37139,0.14673,0.76422,3.8802e-05,3.8802e-05,3.8802e-05
48,1471.71,0.1295,0.21272,0.12049,0.78081,0.99258,0.99323,0.99295,0.98974,0.99258,0.99323,0.99295,0.97978,0.15903,0.3728,0.13827,0.7637,3.0189e-05,3.0189e-05,3.0189e-05
49,1502.32,0.12708,0.21478,0.11939,0.77868,0.99477,0.99323,0.9929,0.98929,0.99477,0.99323,0.9929,0.98027,0.15782,0.37489,0.13888,0.76336,2.1576e-05,2.1576e-05,2.1576e-05
50,1532.93,0.12679,0.21441,0.11467,0.77293,0.99406,0.99308,0.99286,0.98891,0.99406,0.99308,0.99286,0.98086,0.15538,0.37679,0.13964,0.7604,1.2963e-05,1.2963e-05,1.2963e-05
